nama_caleg,pasangan
Drs. SAHAR L HASSAN,ARIA SISWATI
R LINA KURNIA SARI,SUHARJO PRATAMA
MAULANA AKBAR SYARIF,-
"NUR ARIFUDDIN, S.IP",MUNAROH
YOSY,-
"dr. RIBKA TJIPTANING PROLETARIYATI, A.AK",Sigit Herlambang
"KH. M NOVA ANDIKA, S.E.,M.E.",Ai Rustinah
Ir. A. BAGUS PEKIK. H,"Sulistyowati, SH"
HERI GUNAWAN,"KARTINI GUNAWAN, A.MD.PAR"
NEVI HERIYANTI,M. TAUFIK SERVIA. SH
"MUSTOFA, SE",FERRY SORAYA
MAYANG RUKMI,-
"MODI TITAN PRASETYO, SE",PRILIA ERICA AKBAR R. YUNUS
"HJ. DEWI ASMARA, S.H., M.H.",PERMADI SOEMARAHATIANTO
"HERU HERLAMBANG, S.AP",OMAH ROHMAH
"Dr. drg. TONNY APRILANI, M.Sc",drg.Hj. UTJE S. APRILANI
"H.HEROL AL HUDRI, S.I.P",ROHAN SANTI YUNIAR
"RADITYA DWI PUTRA KAGISWANA, S.E",MISKA LAIL
drh. H. SLAMET,dr. Titin M Andadari
"FITRI HAYATI, S.Ag","ACHMAD FAHMI, S.Ag"
"DR. H. SUKMAWIJAYA, MM",FATIMAH
MUH. NURI,Shintawati
ZAKIAH SYAMSUDIN,PRIYO INDRIANTO
"Drs. H. SUPARDI, M.Pd.",Hj. LILIS RAHMAWATI
"DRS. H RASTA WIGUNA, M.SI",HJ ANNAH ARMILA
"H. ADE YUSUP, M.AG",HJ SITI RAHMAH
SULIS SETIOWATI,IMRON
"DRS. H. ENDANG DJAKATELA, MM MSI","IVA RUTAIDAH, MM.PD"
"SUPRIATNO, S.T",EMI ERLINDA
MANZILA MARIA RETNO,-
"HJ. LISDAWATY M PERMANA, S.E.",Drs. Noorzain Iskandar
OLLA RAMLAN TISSA,MOHAMMAD AUFAR
Dr. HJ. RENI MARLINAWATI,"H. Moehammad Amin, SE"
H. IKBAL ASIMUDIN ABDUL FATAH,Siti Tarbiyah
H. MAKKI YULIAWAN,Imas Nurrachmawati
SILVIA RAHMAH,-
DR. H. MUHAMAD SHOLEHUDIN,-
TAOFIK WAHIDIN,IKA NURANI RAHAYU
"ALLEN YULIANA ELIA, SE",-
FRANS MEROGA SURUNG RAJA PANGGABEAN,SARI GANTINI
"RADITYA PADMAWANGSA, S.IP",RIA CATUR
NEVIAWATI,-
DERI SEPTI,-
"WINA ARMADA, S.H, M.H",AMALIA TRINAWATI
"CALVIN LAMBE, Bsc",YUNG SURYATI RACHMAD
KRISDIYANTI,ABDUL SYAKUR
MARLYANA SHANTY,-
"Drs.. MUSLIM MASHUDI, MBA",LYLY MOELJANTO
"H. SYAHLAN SIREGAR, ST",Hj. SUHAILA NASUTION
DINI HIKMAYANI NASUTION,SASTIFI YARMAN
"H. IKHSAN LUBIS, SH. SPN","RATNA SARI BATUBARA, SH. SPN"
CUT ELVI ZARAHMI,MISNAN MANURUNG.SH
"EDI SUSILO, SE","HENNY RAMADHANI,SE"
"H SYAFRUDDIN NASUTION, IR",TITIK LARASATI DR
M.SALIM SIMANGUNSONG,DRG.DEWI HARTIKA
IDA ERNA SURIANI,NURWELIS SAMOSIR
CHARITY CLAUDIA YIZRAHYA P,-
"R A KRISHARTANTO, SH., MH",TITIK YENI DAMANIK
MARRADINA,SYAHRUM
ADAM MALIK DAMANIK,(ALM) ULINA KHAIRANI
HARI HIDAYATI,M. TRY MANDALA PUTRA
"RENO YANTI, SH","H. ALAMSYAH HAMDANI, SH"
"DELPIN BARUS, SE","MULIANI SARAGIH, AMD"
"DR. MASDAR LIMBONG, DRS, M.PD","LISNAWATI, S.SI, MMPD"
"SRI WAHYUNI, M.PD",HUMALA IKHSAN SIREGAR
"H. AZMI YULI, SH, MSP","SUSI HARYANTI, SE"
"DRA. MURNI ZIDA SIREGAR, M.PdI. H.","IR. H. ALIMAN SARAGIH, MSI"
MUSLIM KAMAL,SRI HANDAYANI
"HORAS BONAULI MANULLANG, ST,MM",-
"FATWIANY, M.Kes",Mohammad Erwin Radityo
INDRA ALAMSYAH,"DRA. SURIATANTI SUPRIYADI, MSI"
"H. AMAS MUDA SIREGAR, SH",RAMLAH
"NUZULIATI, SE., M.Si",IR. PRIAHADI BARNADI
RIZA VAHLEVI LUBIS,-
DESI ALFI ZAHARA,GARIN AGUNG NUGROHO
ADI SYAHPUTRA,Budi Tiarani
"Drs. H.. PARGINO, M.Si","Hj. Yanti Handayani Siregar, SH, M.Pd"
MARIA ULFAH,Darbakti
"HERDIN ZULKIFLI SARAGIH, ST",Sawfi Hidayati
ELI ARSIDA LUBIS,Massarudin
ROSDIANA TAMBA,budi
ALVIN ARTUR STEVEN SINURAT,-
NAOMIKA TRESIA MANALU,-
GIDEON POLIN,JULITA RODHO ASIH SIALLAGAN
"GITA DESIA RANTO, S.Farm",-
Drs.. MISNO ADISYAH PUTRA,INDRIYANI
"RUKIYAH, S.Pd.I.",MISWANTO
"SAFRIL DAMANIK, S.Ag.",MISNIATY JS
"HASNI LAILI, S.Pd.I.",SAIDUL AKRAM
"ASRUL AZMI, S.T.",-
"dr. MUHAMMAD FARIDZ SYAHRIAN, M.K.M",-
H. INDRA JAYA UMAR,Ummi Salamah Lubis
WIDYA ROZA,"Nuralamsyah, SH"
"MUHAMMAD IHSAN MAULANA, SE",-
"TENGKU FAUZIAH HANUM, S.Ag",Dahris Harahap
RAMLES SIMANJUNTAK,LADI KRISTINA
"FERRY MUHALDI, SE",-
JULIANI RAMADHANI LUBIS,IBUN AZHAR
NORALINDA MINHALLALIKA LUBIS,PASIFIC
"ANDIKA ATMAJA NST, SH","FENI WULANDARI, SH., MKN"
"MULFACHRI HARAHAP, SH.,MH",YOTI HASNAHWATI SIREGAR
IBRAHIM SAKTI BATUBARA,WIMASLINA KHAIRANI LUBIS
"MISLAINI SUCI RAHAYU, MM., MSC., IR",-
"INDRA BUANA TANJUNG, SH",-
"AHMAD ASWAN WARUWU, SE.,M.S.M",EVAWATY
DRS. ERISAL ZUHERDIS,SARIAH ULFAH
OKY IRAWAN,YUSNI KURNIASIH
"MEILY WARDHANI, DRA",MUHAMMAD IQBAL
"LENI INDRIA SARI, SH",AULIA HARDI
"RAJAMIN SIRAIT, SE",SINTA BERTUA PASARIBU
"IRJEN POL. (PURN) Drs. H. WISJNU AMAT S., SH",HJ. MUTIARA SITEPU
ALDANALIA DELVI,"EKA HADI SUCIPTO, SE"
"BOBBY APRILIANO SYAM LUBIS, SE","SARTIKA, SE"
"MURNI ABRIDAYANI NST, S.PDI",RUSMAN EFENDI S. S.PDI
JUNAIDI SIBUEA,TRISSYE
Drs. H. ZAINAL ARIFIN,I.M. DIAH ASTUTI
YANNI,-
RAMLAN,"YUSLIAWATY, S.PD.I"
"Drs. ALI AMRAN TANJUNG, SH, M.Hum",ZULFRIDA ANDAYANI
DR.. MASRI SITANGGANG,Dra. KHAIRITA THAMRIN
"M SAIFULLAH, ST",YESSI PRATIWI
"TAUFIKQURRAHMAN, SE.",ROSINAH
"YASONNA H. LAOLY, Ph.D",ELISYE WIDYA KETAREN
Dr. SOFYAN TAN,ELINAR
"ENDAH SRICAHYANI SUCIPTO, S.Pt.,M.Si.",RANGGA HANDAKA
H. IRMADI LUBIS,WIRDIANA BEY
"RAHMAT HIDAYAT, S.E.","KEKE MA UJUNG, SE"
"LIDYA OCTAVIANA SIANIPAR, S.H.",MAURID SINAGA
Ir. JANVIAR PAULUS SARAGIH,Dra. FRIETHA T TOBING
APRILIA RATNANINGSIH,ANGGA CIPTA SAPUTRA
RIO SAHALA SIAGIAN,RUTH NINA KEDANG
"BALTASAR TARIGAN, S.E.","MEIKE MW WAGAEY, SH"
"ROMO H.R. MUHAMMAD SYAFII, SH,.M.Hum.",Dra. KHAIRINA ROSITA
"SITI JAMALIAH, SH",BUDIONO WIDAGDO
EDI KUSUMA,SURYANI.P. BSC
"ISKANDAR H. P. SITORUS, SH",AJRIANI M. SALAK
"M. HUSNI, SE",DR. ARIYANI ATIATUL AMRA
"HJ. FATMAWATY, SH",H.T MUHFRIZAL
"Ir. MUHAMMAD AZHARI, MH",DEWI DAMAYANTI AZHARI
"RUSLIM ROHIMUN, SE","MAHANI DJALI, SE"
"MAHARANI SITI SHOPIA, SH., MH",-
"EMIL M IBRAHIM, SH., MBA",SITI NURIZKA PUTERI JAYA
MEUTYA HAFID,Noer Fajrieansyah
ROLEL HARAHAP,"Hj. RAHMI ABRIDA, SH."
"LAWRENCE T.P. SIBURIAN, S.H., M.H.","Ir. Rosalina Napitulu, M.Si"
"ROBI ANUGRAH MARPAUNG, S.H., M.H.","PRIMAHKOTA HANDISKA HARAHAP, sE"
"H. ADLIN UMAR YUSRI TAMBUNAN, S.T., M.S.P.","AINI ZETARA SIREGAR, SE"
"Ir. NETTY FARIDA SILALAHI, M.M.",ALBERT SITOMPUL S.E.
"CAMELLIA PANDUWINATA LUBIS, S.E., M.I.Kom",IR. JOHAN ROZALI
"RUDDIN AKBAR LUBIS, S.H., M.H.","NINIK ARIANA SABATINI, S.H"
"ROBINSAR SINAGA, S.E.",RUTH SITOMPUL
HADIATY MAHALINDA,PUTRA FAJAR AMIARNO
IR. H. TIFATUL SEMBIRING,SRI RAHAYU PURWITANINGSIH
"SUTIAS HANDAYANI, SE",GATOT PUJO NUGROHO
"Drs. H. M. IDRIS LUTFI RAMBE, M.Sc",Dr. Zurimah binti Zamhuri
"H. HIDAYATULLAH, SE.",Dra. HAMIDAH
"IRWANSYAH, S.H., M.H.",Siti Chadijah Siregar
"DESSY YUSVIKA YUSDARTONO, S.KOM",-
"FAQIH HAKIM HASIBUAN, S.Pd., M.Pd","DIRA PUSPITA SARI, S.Pd., M.Pd"
DITA INDAH SARI,JOKO PURAWANTO
"SAHRIL TUMANGGOR, S.E., S.H., M.H.",UMI MARKATIM
"DR. H. SYAFII SIREGAR, MA",HJ. LIDYA HASNI
"H. HARUN, SH, MH",FITRI HANDAYANI
"MARDIANA BUGIS, S.E",-
"ABDUL MANAF, S.Pd.I","NIHAROH, S.Pd.I"
"DAHRIL ASMY, S.T",LAILAN MARDHIYAH
"Dr. ZAKARIA LUBIS, S.Fil.I, MA.Hum",-
"RINA YUGO KASNI, S,Pd, S.E, M.M","Hamdani, SS,S.Pd,SE, MM, M.Pd"
DELLY MAHFUZAR,AFNI YUNITA
"LATIFAH HANUM SOFYAN, SE","MUSDALIFAH, SE"
PERHIASEN TRIWATY BR GINTING,Sudarto Sitepu
Ir. AGUS PETRUS SIMORANGKIR,Lunaria Hasugian
"Drs. H. HASRUL AZWAR, MM",Hj.Nani Muliani
"H.HASAN HUSAERI LUBIS, SH","Hj. Ratna Hartati, Spsi"
VANIA ZENAIDHA HILARIO,-
"M IRWANSYAH PUTRA, SE",Nurul Asyura
IKA WULANDARI,Elfiansyah Chair Azmy
ZULHUJJAIN AL ADYAN RANGKUTI,Yungtifa Riani
"HJ. ENDANG TRISNAWATI,SE",H. Muhammad Yassir Rizka
JULI SUSANTI,Ferbiansyah Putra
MAHENDRA APRIYANTO,Indah Saswira Putri
H. KHAIRUL IMAM,-
"ARIFIN SALEH, SP, MM-CSR",-
"HOTBEN SINAGA, ST",IRMA MONA HUTAHAEAN
HERTO TRYDE SIBARANI,Barli Adrian Tambunan
EKO MARHENDI J,SITI MAHARANI
Dr. R.DWI PANTJA WIBOWO,Dr. Rocksy Fransisca V. S
KARINA DEWI HASIBUAN,-
EFFENDI SIMAMORA,LENNI
SYLVIA RAHMAH LUBIS,NN
AHMAD FITRIADI MUNAR,-
PRIA SANTRI BERINGIN,NN
AMINULLAH SIAGIAN,Sri Anggi Wahyuni
DONNA PAULA,"HARTONO EWADI S.H.,S.E"
TOHA SAUT SITUMEANG,LISBETH RATU SURYA
MARIANA SIALLAGAN,DANIEL LEO
"Drs. PARLINDUNGAN, SE,.MM","MISPA MEIDIANA,SH"
"THE JENNY, S.E.",SUTANTO GUNAWAN
BOY BAKAMARO GINTING MUNTHE,ANASTASIA DESY
"DRS. SELFESTER M. BANFATIN, M.Si","DRA. FLOURI RITA WUISAN, MM"
ELIASAR F. MBOEIK,SELFINCE FATTU
MERPATI SAYD,"DARIUS FATTU, SH"
ELISABETH F. E. KANA,FAUZAN ZAKARIAS
"AMIR HUSIN, SE",ANNISA FITRI
"ADRYANTY, AMd.Keb",-
ROMANUS BOLLI,DAFROSA S. MELUR
METRI FIDRIYATI NAMAH,-
FREDERIKUS ULAN EFI,-
MELFINTA MODOK,-
EDWIN R. FANGIDAE,RACHEL ANGGIDAE
"JOAO ANTONIO DE JESUS COSTA, SH",-
RAHEL ANDRICUS DOPA,MARIUS Y. ANDRICUS
"ELLY MATHEOS ADONIS, S.H",Juliana B. Adonis - Pohan
NORA FLORIYANTI BOIMAU,-
FOLKES HAILITIK,DELFY NATALIA HANA
"NELSON OBED MATARA, S.IP, M.Hum","ANITA WADU, SE, MM"
SARMINCE M LOASANA,FRANS UMBU DATTA
"RUDOLF IMANUELALEXANDRIS SAIN, S.TP.M.SI",EMI ATANAU
"LEKSI LAMBERTUS SAUDALE.IR, IR",MARSELINA A.B.NENOHAY
"JUNUS MBEO, SH","ASANA F. SANDA, S.Pd"
"AULORA AGRAVA MODOK, S.Sos",-
"MELSY JULIANA BUNGA, S.Pt","JEMSENG CARLES ABINENO, S.TP, M.Sc"
HARIS ADYANTO CHRISTADELPHIANS OEMATAN,"PDT. MELIANA BENUSU, S,TH"
"YUPERLITA DIMA, SH",ROBERT ULY
"DANIE SAMUEL HEKE, SE","DWI KURNIATI RIANI YUNIARITA SIDHARTA, SE"
VENNYTA L. MONTOLALU J,ROBINSON LEDOH
CORY BENU-KEO,ZADRAK BENU
"ADRIANUS NDU UFI, MSI",HENDAO AGUSTINA KAROLINA NGGADAS
STEFANUS MANOH,SOFIA DILLAK
SRI HANDAYANI LAKUSABA,ADRIANUS LAKUSABA
"JACOB V. JOHN. A. CH. BALLO, SE",SUSANA INGUNAO
"YAKOB BANNESI, S.Pd",YULIANA AGUSTINA AMFONI
MERSI DANIELTY NDU UFI,-
"KORI AMELCY TALLAN, S.Pd",HENDRIK LELIS
"WELHELMINTJE S. L. RATUARAT, S.Pt",ZEYTO RONNY RATUARAT
"CHRISTINA SEFARINA TALLO, SE",FRIETS D. BUA MONE
"ROSALINDA HANINUNA, SE",DRS. Y. RUDOLF Y. LITUALY
"CORNELIS FEOH, SH","ADRI FLORIANA SUI, SH"
"JOHAN J. OEMATAN, SH., M.SI",VIVI K. TJAHJADI
"NIXON PETRUS YUSAK ANDERSON MESSAKH, SH",DR. NELLY FEBRIANY RIWU
"VINSENSIUS BURENI, S.SOS","FRANSISKA ELSE MARGINI, S.SOS"
ADRIAN MANAFE,-
"JANRI ADOLOF NUNUHITU, S.SOS","HANNY A. FANGGIDAE, SH"
TINCE CHINTIA LADO PELLA,WEMPI LADO
"HAMDAN SALEH BATJO, SP",NURBAYA A. RAZAK
"IR. LAY DJARANJOERA, M.SI","RIMA K.S. DJARANJOERA-SALEAN,SE"
YERI SELFIN PANDY,SIMSON HUN
HERMAWATI AGUSTENSI SIR,-
SUPARDI,HJ. HARYANI
"IKA PRABAWANINGTYAS, S.SI",BAYU ARIAWAN
ANITA DEVI PRADANI,MARKUS RICKY BETE
PDT Drs. JUNUS NAISUNIS,"PDT. RAMIDETA NAISUNIS, Drs"
"YOHANIS ULY KALE, A.Md",MARRIYANTI OCTOVIANA DJAMI
"MARGARITHA BLEGUR, S.Pt",JUSUF ADOE
FERYANUS MOOY,"AKUILINA RUAN NINU, SH"
"Ir.. ONISIMUS JERMIAS NDUN, M.Si",Ir. SARLOTHA VICTORIA HERMANUS
"NAOMI ERIYANTI NAISUNIS, A.Md",-
INDRY NOVITA LUSI,-
"WELLWM BANGNGU KALE, SE",Theresia Sumarni Sakera
"FADIANUS YUSTINUS HANING, SE., MM",Susanti E. Kisek
RUTH PAULA BETTY DAMI,Petrus Gunawan
OCTOFINA RUMLAKLAK-RADJA,Melkias P. Rumlaklak
"NELSON JOHANES PELLOKILA, SE, M.Par.",DEWI NOVIANI IPPOLITA
HANNA SAY NATUN,FRITS E. A. SAY
"FRANSISKA YUNITA LEBO, s. Farm.,Apt",-
FILMON LOASANA,-
PAULUS EDUARD LAZARUS BOLLA,ELISABETH F. HERMANUS
LINDAWATI MAMO,-
MARIA SAKU,MOSES NUBAN
"ARKHIMES MOLLE, SH.,MA",ADOLFINA MAFO
"THOMAS MALAFU, S.Sos",CANITRA MALAFU DIPAN
"YAPI OKTOVIANUS THERIK, A.Ma",IMELDA E. BANA
"ELDO RADO SAUBAKI, S.Kom",FARIDA M. MANSYUR (ALM)
INDAWATI,EDIXON S. NUFNINU
"JANE PITRONELLA MARUNDURI, S.Sos","ATHOS W.P.ARKA,SH"
AWANG NOTOPRAWIRO,SITI NURAINI S.ZAELANI(ALMARHUMAH)
"DANIEL UMBU DANDAR, SH",MARIANA
"ERVINA KAKA, S. Pd",-
"MARIA JOSEFA BETE, Amd.keu",Debi Indra Kusuma
YOSEP FALENTINUS DELASALLE KEBO,ANDINA WINANT UNINGTYAS
"Drs. JAN CHRISTOFEL BENYAMIN, M.Si.",LESSY ELISABTH B. WIELIGMANS
NUR INDAH SETIAWATI,KUSNO TRIO DWIHADI
"JOHN O SAITAKELA, S.T.","MARYANTI Y. BESSIE, SPD"
LILIS LUSIANA,-
MUHAMAD LUDFY,0
"ABQARI MUHAMMAD AL FATIH, SH., S.I.Kom",SUNARYAH
HENNY NURAINI,JOKO
NINA YERMINA YULIANA HERE BALOE,CHARLES HERE alm
"Ir. FARY DJEMY FRANSCIS, MMA","YOCA O. YOHANNES, SE"
"FLORENCIO MARIO VIEIRA, MPM","Dr. YUSTINA YUDHA NITA, M.Sc"
Dr. MARIA AGUSTINA NOACH,AYAH
"FRANKY LEDE MESAWOLE, SE",SRIE BANDYAH S.Sos
"AGUSTINA ANAKOTTA FOEH, SH",AYAH
"KATHARINA RAMBU KARERI, SE","SIPRIANUS ATOK, SH"
WILHELMUS YOHANES BERE ATI,BRENDA MARIA FENANDES
EMANUEL MELKIADES LAKA LENA,MINDRIYATI ASTININGSIH
"Ir. PAULUS VICTOR ROLLAND MELLA, M.Si",Ir. RAMBU ATANAU-MELLA
"Dra. SYLVIA A ANGGRAENI, M.S",Ir. Umbu Mehang Kunda (alm)
"Drs. JULIANUS POTE LEBA, M.Si.","Dra. M.M.A. Henuk, M.Si."
MERRY.S.A.H.LENGGOE,ARTHUR LBN RAJA
"Drs. AYUB TITU EKI, MS., Ph.D",CHRISTINA NGADILAH TITU EKI
"APRILIA JOHANA MANUKOA, M.Pd",-
"Dr.Ir. JAMIN HABID, MM",CHRISTIENE S.J. FANGGIDAE
"SITI FATIMAH, S.Psi.",ANWAR HAJRAL
"SYAMSUL SYAMSUDDIN ALI, SH",Anita Rahayu Ningsih
"RAHAYU HAMZAH, S.Pd","RUSLAN KASIM, S.PdI, M.Hum"
Ir. JARMUD ASDOD SEMUEL TAHUN,KATHARINA M.E KIMM
"EDWARD TANNUR, SH","Meirizka Widjaja, SE"
"ALETA KORNELIA BAUN, SH",LIFTUS SANAM
"Dr. SOLEMAN LENDE DAPPA, S.Hut, M.Th",Feebe Berhitu
"SELESTINA IMACULATA F. SANBEIN, S.Pd",-
"PONCO SULISTYO KONO, SE",RIZKI NUR INTAN
GRACE FROULINE PEQUITA NDOEN,-
"DRS. LAMBERTUS L. IBI RITI, MT",DRA. OCTOVINA PETRONELA NALU RIHI
"ALFRIDUS BRIA SERAN, ST",Anindya Widaryati
"RATU NGADU BONU WULLA, ST","Markus Dairo Talu, SH."
"MUHAMMAD BAYU PUTRA, SE",Yetta Tri Nydia
SYAHRAENI,TIDAK DICANTUMKAN
"SAIFUL ULUM, SAP",Nur Azizah Febryanti
FARAH DINI,rizki khaerudin
MAHMUDAH,-
SRI ISMAWATI,sayyidi
"AJUB T. TASOIN, SS",Leonora Malonda
LUSIA B MARETNI SINLAE B,NN
"BARNABAS JJS PELLA, S.H M.Hum",LELY R.T.I NAPITUPULU
"NUNIEK ERNANINGRUM, S.H,. M.Hum, MACM, MM",NGAKAN Nyoman I M P
BAYU ENDRO WINARKO,FEBILIARTA ADIYATI AMALO
IRENI ALEXANDRIA,-
"PITER THINUNG PITOBY, SE",-
Drs. JONATHAN NUBATONIS,CAROLINA NUBATONIS - KONDO
Drs. JAN PIETER ATE,DIANA EVITA KEMBUAN
"IVONNY DIANA TALLO, SH","DENNY R GIRI, ST"
KARTIKA SARI DEWI,Sonny Adrian Saputra
"RADEN TEDI, ST",BANI FATMA SUKMANANDIA
"Dr.. KH. DADANG WAHYUDIN, M.Ag.",RISYANI
"AAN WINDAYATI, S.Ag.",-
"JAKARIA, ST.",DARIAH
"Dr.. H. YAYAT ACHIDAT, M.Pd.",DRA HJ YOYOM ROMLAH
Ir. H. YUSUF EFFENDI,ZAINAB
RINA FRIDAIANI,-
"SITA PERMATA, SH",-
SUWARDI SUDARDI PRANOTO,HARIPAH
ENGKUS KUSWARA,-
"ENDAH DAMAYANTI, A.M.PD","DIDA K. URSIRADINAJA, MBA"
SUHUD SOMANTRI S.K,MARGARET FM
HERMAN SUHERMAN,DEDEH SRI MULYATI
SUBKHAN SUPRIATNA,ANA FARDIANA
TINI KARTINI,JEJE RUWANA
TAUFIK HIDAYAT,HILDA PRILIYANI
AJAT SUDRAJAT,EVI ROSDIANA
AHIM NURAHIM. H,-
"H. ELAN SUMANA, S.E.",-
UNENG KUSPITA,-
Drs.. ENCEP DJAUHAR IMADUDIN,-
"DEDI NURDIN, S.Pd.",AAN JUANTI
"AI NIA RIANI, SH",-
PERMANA KUSUMAH,-
"RIDWAN SOLICHIN, S.IP., M.Si.",Iting Mursyidah Hanum
"NENENG NURHAYATI, S.Ikom",MUHAMMAD HADEN AULIA HUSEIN
"DEDEN HARDIAN NARAYANTO,, ST",Diceu Hamidah
UTANG KURNIADI,Nia Yuliana
HJ DEWI PUSPITA ARIANI,Sutikno
"APIATNO, S.E. ,M.Si","Ela Kurnia, S.Pd"
"ROSID SUPRIADIN, S. Pd, M. Pd",Yeyet Resmiati
"SUGIYONO, S.Pd.I",Imas masturoh
"TATI NURHAETI, SE","ARIEF RESPATI, ST"
MUHAMAD DAWAM,HASTINA UMI RAHMAWATI
"BAETUL KOERI, SIP",AI ROSITA
"SARI LESTIA, S.Ag",-
"H. NASIR, S.Ag",OYAH RUQOYAH
IYAM SITI AMINAH SONJAYA,-
"JAMAL ABDUL NASIR, S.Ag",EVA PUSPITASARI
"GOMAN, S.SOS.",YULIAN HERLIANI
YANI ROSTAENI,SYARIFUDIN
ICA SITI KHODIJAH,-
SARTONO,NANI JUARIAH
"Dr. YAYAT HENDAYANA, S.S., M.Hum",POPON KARTINI
Drs. H. MOCH. SYAEFUDDIN,SITI MARYAM
"ARNI HARYANTI, SH",JAJANG SUKMANA
"BAMBANG AGUS SUHARDI, SH., M.M","SYUKARSIH M.S, SH"
"Dr. AWANDI NOPYAN SUGIARTA, M.Pd",SUMIATI
DEWI SARTIKA,WAWAN NUGRAHA
D.P. ALBERTO,RESTU PARAMITHA MALAU
YETI SUPRIYATI,ABDULLOH. SIP
"H. EMAN SULAEMAN, SE",Hj. TATI HARTATI
"DINANTI SULUNG PRASASTI, SE",-
"MARULI DJAJA MULIADY, ST., MM",dr. Fanny Rahardja
"HJ. FARAH PUTERI NAHLIA, M.Sc.",-
DWIKI DHARMAWAN,DYAH PURNAMASARI. S.H
"ASEP ROCHMAN DIMYATI, SH",WENNY INGGRIANY
RONA FIRMANSYAH,SHERLY KUSUMA
OKKI SUSYANI,PROF DR JUSUF
"H. RADEN OPENDI, S.Pd",HJ. ENTIN KURNIASIH
"NUR OKTAVIARNI IKA DEWI, S.H",-
"MOHAMMAD UZEN ZAINUDDIN ARIEF,, BA",E. ROHANAH
Dr. H. RM. PUPUNG SUHARIS,Yuonne Dumais
"Ir. H. DEDI NURYANA FIRDAUS, MH","Hj. Nia Munia Mugni, SH"
DWI SURYAWATI SAID,"H.SAID RUSLI,SH (ALM)"
Drs. H. TJUTJU SACHRUM,Hj. Poppie Sofiah
R. LILY HILDA,Rachmat Hidayat
"Dr. Drs. H. EMAN SUDIRMAN, MS",Hj. Djubaidah
"NIA KURNIASARI, ST.,MT",ARIE ASMORO
PROF. DR. IR.. TUHPAWANA P. SENDJAJA,HJ. TIEN KURNIA IN
"SURYANA, S.Pd., M.Si",TINA
NENEN KUSNAENI,Drs ENA SURYANA
"MUHAMMAD, S. Ag",LISNASARI
"Ir. SUTARMAN, ST., S.KOM., M.M",NONA
IRA LAILA NUR QADAR,-
WAWAN HENDRAWAN,SUKINAH
Drs. H. BAMBANG SURYADI,DEASY AR
"Dr. H. SUTRISNO, SE.,M.Si","Hj. IMAS INDRAWATI SUTRISNO, SE., MM"
"AFIFAH ALIA, S.T.",DWI SURYONO
"H. OO SUTISNA, SH",AI MULYANI
"H.JEFRY ROMDONNY, SE., S.Sos., M.Si.,MM",DINAR TISNAWATI
PENNI OCTORA,AYAH
"H. SUPRIYADI, SE",IBU
"DR. H. DON MURDONO, SH MSi",ROCHMIYATI
DEWA AYU PUTU AMALIA DEWI,-
"RAHMAWATI SUPRAPTO, SE",JHON JEFRRY K.
"Ir. ARNANTO NURPRABOWO, M.P",SUSILOWATI
VENNY DEVIANTI,Anang Eddy Poerwanto
"HENDRIK KURNIAWAN, S.Pd.I",WULAN DAMAYANTi
"HJ ITJE SITI DEWI KURAESIN, S.Sos., M.M",IR. DRS. H. LILI ASDJUDIREDJA
"H. TAUFIQ GUNAWANSYAH, S.I.P., M.Si",HJ. ADE SUMARTINI
"LACKIE SUWANDIE, S.E",Elvina Dewi
"MEDINA WIRANATAKUSUMAH, S.E.",NOVEL ADINATA
Ir. RIDHO BUDIMAN UTAMA,Ade Nurbaeti
"IKE MEDYAWATI SETIARINI, S.Si., Apt",Dedy Ambara
dr. H. ENCEP SUGIANA,Muhayaroh
IR. H. WAHYUDIN MUNAWIR,H. Wafaa Syuhada
"BUDIMAN AL IMAN, M.Si",YUYUN YUNENGSIH
"HJ. INNA SAMSUMINAR, S.P.",Muhamad Fatah Wiyatna
MAMAN IMANUL HAQ,HJ UPIK ROPIKOH
HJ LILIS SANTIKA,HAFIDZ TAFTAZANI SYAMSUDIN
"SUTARNO, S,PD., M.M.",WINDARI
"IMAM BUDIMAN, BE., SP., M.SI",ENENG MARYANI
"IMAN HIMAWAN, S.Pd",ELIN HERLINDA
"ROBIATUL ADAWIYAH, S.PDI",HJ ALI MAKKI
DRS. WARI MAULANA,ADE NURHAYATI
MUHAMMAD AARON ANNAR S.,Delia Melissa
"Hj. IMAS SUSILAWATI, S.Pd, M.Si",FANDI KAHFI
ATIN SUPRIATIN,Randal Marvin Hileman
"MAHPUDIN, ,SE",ADE KARTIKA
"DR. MOHAMAD QOYUM, ST., M.Si",-
"HJ. RATIEH SANGGARWATY, SE",Isman Budisepta Zen
"Drs. H. SANUSI MAWI, M.Si",Ucu Devi Endayani
"HENDANG SETYO RUKMI, S.T., M.T.",IR. AFNIL
ERFANDI,Yessi Fitrianti
"YUYUN YUNANI, S.PD.I",USU SUPARDI
GITA SHAHNAZ UTARI,Andreas
DENI KHANAFIAH,SYAHFITRI ANITA
DEDEK PRAYUDI,NUR INTAN DESIANTANTRI
ANNISA WIDIPANGESTI ADJIE,-
DANIEL MORIS TAMBUNAN,-
"MOCHAMMAD RUDY FIRDAUS, SE",LITA PELITIANI
"YOKI OKTORIAN SUKARDI, S.Kom",-
MUHAMAD ALFAN BAHARUDIN,NITA RIANI
"Dr. ASEP SUPRIADI, SH.,MH",ETI ORBANIATI
ATING SUDIRMAN,ATIK WYUNINGSIH
