nama_caleg,pasangan
"ZAKIYAH DRAZAT, S. Tr. Keb",Firdaus D. Nyak Idin
H. NAZARUDDIN DEK GAM,dr. Hjr. Rina Mayasari
"MARGONINGSIH, SE",-
SULAIMAN ALI,Khuratan Aina
"IRA HADIATI, SH",Ir. Rusli Latief
"H. JUNAIDI, SE","HJ. RITA ZAHARA, S. SOS"
SUMIATI,0
DASLELIATI,Teuku Syarifudin
"H. SAYED FUAD ZAKARIA, SE",ARJUWITA
Dr. (H.C.) Tgk. MUHAMMAD YUS,ASLAWATI
SUMARDI,-
"SALAWATI DAHLAN MS, SE",ANSORI
DRS. H.MISWAR SULAIMAN,NONE
"MARDIANA, S.SOS. I",ADNAN
DHAHRATUL AINI,-
H. KARIMUN USMAN,Hj. SITI NURMA ROYANA
RAMOND DONY ADAM,-
DWI LUHNUARI JUMWATI,-
"MUSLAHUDDIN DAUD, S.Ag",SETIA DANI
"TITI WIDYAWATI, S.P.",-
NASRAN AB,"SUERNI, SE"
LIRA AMALIA,-
"RAHMIATI, SE.Ak",RIZKY MAHYUDDIN
"FADHLULLAH, SE",MUKARRAMAH
"Dr. ASFIFUDDIN, SH, MH",IBU
Dra. HJ. ZULHAFAH,"ALM. DR. H. LUTHFI HELMI, SP.P, FCCP"
AINAL MARDHIAH,HAMZAH
CUT MEUTIA ADRINA,"Dr. Nurhadi Ibrahim, Phd"
ANDI HS,MAZIYATI FARISTIANI
CUT SRI MAINITA,BOY HERIYANTO
"Drs. H. SULAIMAN ABDA, M.Si",MUSTIKA HAYATI
Drs. H.T. ZULKARNAINI,"HJ. KELIMAH, S,SOS"
"NENI RUMIANTI DAULAY, S.E.",-
"CUT NURMALAHAYATI U, S.E.",-
AFILIA TRI HANJANI,-
GHUFRAN,Irma Suryani
RAFLI,DEWI LISNADIA
"SRI HANUM, SE",Murdani ST
H. MUHAMMAD RIZAL,Rr. Endah Kusumaningtyasari
"ANGGARDA PARAMITA, S.Pd","Roni Yuanda Syahputra, A.Md"
"DEVI ARIANI, S.SOS",BUDI SANTOSO
"M. YUNUS AZHARI, SH",-
"H. IRMAWAN, S.Sos, MM",ELIS DEWI
SAYED MUSTAFA USAB AL IDROES,ELLY SUSILAWATI
MAHDALENA,-
T. NASRUDDIN,nurlaila
KHAIRULLAH,EKA PURNAMA SARI
"IDAWATI, S.E",JHON TARA
"SUHARNI BUSTAMI, S.Pd",jafaruddin
"H ZAINI DJALIL, SH","Hj Lindawati, Spd"
"TGK. ANWAR, S.PD., MM",Maryam Ulfah
"Hj. DRA. MEDIATI HAFNI HANUM, SH,. Mkn","H. Azwir SH, M.Si, Mkn"
"Dra. NURHUSNA RAZALI, M.Pd","Yusra Nyakya, SH"
AMRI M ALI,"HJ. Erlinawati, S. Ag"
"T ZULFIKAR THAIB ALY, SH",Syarifah Rosnawati
"ROSNI IDHAM,SE","Bismi AB, S.Pd"
IBNU AQIL,Ita Kausari
H. RUSYDI AW,Hj. Anita
ONIE SEPTARINA R,"Ir. Amarullah leman , M.Si"
"DRS. H ANHARUDDIN, SE, MM",DRA HJ RAHMIATI MM
YAZIR AKRAMULLAH,Zuriyati
